Known As,Full Name,Overall,Value,Best Position,Nationality,Age,Club Name,Joined On
J. Fernández,Julián Fernández,70,1700000,CDM,Argentina,27,Newell's Old Boys,2019
D. Blum,Danny Blum,70,1300000,RW,Germany,31,APOEL Nicosia FC,2022
Juanjo Nieto,Juan José Nieto Zarzoso,70,1700000,RB,Spain,27,Unión Deportiva Almería,2021
D. Léon,Donovan Léon,70,1200000,GK,France,29,AJ Auxerre,2020
B. Uphoff,Benjamin Uphoff,70,1300000,GK,Germany,28,Sport-Club Freiburg,2020
T. Schick,Thorsten Schick,70,1300000,RM,Austria,32,SK Rapid Wien,2019
Choi Kyoung Rok,Kyoung Rok Choi,70,1700000,CAM,Korea Republic,27,Karlsruher SC,2018
D. Moreno,Didier Moreno,70,1300000,CDM,Colombia,30,Junior FC,2020
Tang Miao,Miao Tang,70,1200000,RWB,China PR,31,Guangzhou City,2011
B. Riascos,Brayan Riascos,70,1700000,ST,Colombia,27,Al Khaleej,2021
P. Jensen,Peter Vindahl Jensen,70,1900000,GK,Denmark,24,AZ Alkmaar,2021
A. Cerri,Alberto Cerri,70,2000000,ST,Italy,26,Como,2022
I. Ndiaye,Iliman Ndiaye,70,3600000,CAM,Senegal,22,Sheffield United,2019
L. Zigi,Lawrence Ati Zigi,70,2000000,GK,Ghana,25,FC St. Gallen 1879,2020
A. Trouillet,Alexis Trouillet,70,3600000,CM,France,21,Panathinaikos FC,2022
J. Morel,Jorge Morel,70,3300000,CDM,Paraguay,24,Estudiantes de La Plata,2016
J. Bela,Jérémie Bela,70,1600000,LM,Angola,29,Clermont Foot 63,2022
D. Sinani,Danel Sinani,70,2100000,CAM,Luxembourg,25,Norwich City,2020
Gustavo Assunção,Gustavo Enrique Assunção da Silva,70,3000000,CDM,Brazil,22,Futebol Clube de Famalicão,2019
A. Bernabei,Alexandro Bernabei,70,3400000,LM,Argentina,21,Celtic,2022
Y. Attiat-Allah,Yahya Attiat-Allah,70,0,LB,Morocco,27,Free agent,2022
A. Beka Beka,Alexis Beka Beka,70,3400000,CDM,France,21,OGC Nice,2022
J. Lepenant,Johann Lepenant,70,3600000,CDM,France,19,Olympique Lyonnais,2022
Tiago Pombeira,Tiago Nathan Pombeira Gesser,70,1900000,CAM,Brazil,22,Clube Atlético Mineiro,2022
S. Walukiewicz,Sebastian Walukiewicz,70,3300000,CB,Poland,22,Empoli,2019
Claytinho Branco,Daniel Clayton Branco Julião,70,1600000,RB,Brazil,26,Santos,2022
Javi Martínez,Javier Martínez Calvo,70,3600000,CAM,Spain,22,Albacete BP,2017
R. Krishna,Roy Krishna,70,775000,RM,Fiji,34,Bengaluru FC,2022
Jiang Guangtai,Guangtai Jiang,70,1600000,CB,China PR,28,Shanghai Port FC,2022
Brandon Thomas,Brandon Thomas Llamas,70,1900000,ST,Spain,27,PAOK,2022
E. Sarić,Elvis Sarić,70,1300000,CM,Bosnia and Herzegovina,31,Suwon Samsung Bluewings,2022
B. Celina,Bersant Celina,70,1900000,LM,Kosovo,25,Kasimpaşa SK,2020
Y. Cabral,Yonathan Cabral,70,1300000,CB,Argentina,30,Club Atlético Lanús,2019
T. Chong,Tahith Chong,70,3600000,LM,Netherlands,22,Birmingham City,2022
B. Ojeda,Braian Ojeda,70,3400000,CDM,Paraguay,22,Real Salt Lake,2021
A. Pritchard,Alex Pritchard,70,1600000,CAM,England,29,Sunderland,2021
T. Dolan,Tyrhys Dolan,70,3500000,RM,England,20,Blackburn Rovers,2020
P. Sagna,Pierre Sagna,70,1200000,RB,Senegal,31,Santa Clara,2020
A. El Messaoudi,Ahmed El Messaoudi,70,1700000,CF,Morocco,26,FC Emmen,2022
A. Toșca,Alin Toșca,70,1300000,CB,Romania,30,Gazişehir Gaziantep F.K.,2019
G. Marinelli,Gonzalo Marinelli,70,800000,GK,Argentina,32,Club Atlético Tigre,2018
A. Duarte,Alexis Duarte,70,3300000,CB,Paraguay,22,Club Cerro Porteño,2020
G. Hachen,Gabriel Hachen,70,1300000,CAM,Argentina,31,Club Atlético Independiente,2022
Adrizinho Bastos,Adriano Well. Bastos Oliveira,70,275000,GK,Brazil,34,Cuiabá,2022
Flávio Paixão,Flávio Emmanuel Lopes Paixão,70,550000,ST,Portugal,37,Lechia Gdańsk,2016
A. Espínola,Alberto Espínola,70,1200000,RB,Paraguay,31,Club Cerro Porteño,2019
Álex Collado,Álex Collado Gutiérrez,70,3500000,CAM,Spain,23,Elche CF,2018
Kim Dae Won,Dae Won Kim,70,2100000,RM,Korea Republic,25,Gangwon FC,2021
S. Baptiste,Shandon Baptiste,70,2500000,CM,Grenada,24,Brentford,2020
F. Gaibor,Fernando Gaibor,70,1500000,CM,Ecuador,30,Independiente del Valle,2021
V. Belec,Vid Belec,70,800000,GK,Slovenia,32,APOEL Nicosia FC,2022
J. Galván,Jonathan Galván,70,1300000,CB,Argentina,30,Racing Club,2019
S. Motta,Stalin Motta,70,525000,CAM,Colombia,38,La Equidad,2012
J. Allevinah,Jim Allevinah,70,1700000,RW,Gabon,27,Clermont Foot 63,2019
R. Porteous,Ryan Porteous,70,2200000,CB,Scotland,23,Hibernian,2016
W. Caballero,Willy Caballero,70,180000,GK,Argentina,40,Southampton,2021
G. Kalulu,Gédéon Kalulu,70,2200000,CB,Congo DR,24,FC Lorient,2022
J. Tymon,Josh Tymon,70,3000000,LWB,England,23,Stoke City,2017
R. Berić,Robert Berić,70,1300000,ST,Slovenia,31,Tianjin Jinmen Tiger FC,2022
I. Sissoko,Ibrahim Sissoko,70,2000000,ST,France,26,FC Sochaux-Montbéliard,2022
Leôncio Lobeiro,Leôncio Roger Lobeiro Cunha,70,1900000,RW,Brazil,22,Flamengo,2022
Ó. Opazo,Óscar Opazo,70,1200000,RB,Chile,31,Colo-Colo,2017
I. Tajouri-Shradi,Ismael Tajouri-Shradi,70,1600000,LW,Libya,28,New England Revolution,2022
P. Roberts,Patrick Roberts,70,2100000,CAM,England,25,Sunderland,2022
Daniel Ayala,Daniel Sánchez Ayala,70,1100000,CB,Spain,31,Blackburn Rovers,2020
F. Hanin,Florent Hanin,70,1100000,LB,France,32,Paris FC,2020
H. Siquet,Hugo Siquet,70,3300000,RM,Belgium,19,Sport-Club Freiburg,2022
R. Fährmann,Ralf Fährmann,70,525000,GK,Germany,33,FC Schalke 04,2011
D. Dessoleil,Dorian Dessoleil,70,1300000,CB,Belgium,29,KV Kortrijk,2021
M. Sampirisi,Mario Sampirisi,70,1300000,CB,Italy,29,Frosinone,2019
M. Torres,Marlon Torres,70,2000000,CB,Colombia,26,América de Cali,2019
Iván Cuéllar,Iván Cuéllar Sacristán,70,180000,GK,Spain,38,Real Sporting de Gijón,2021
F. Ogier,Florent Ogier,70,750000,CB,France,33,Clermont Foot 63,2018
Iván Martos,Iván Martos Campillo,70,2200000,LB,Spain,25,Unión Deportiva Almería,2016
J. Méndez,Juan Ignacio Méndez,70,2000000,CM,Argentina,25,San Lorenzo de Almagro,2022
R. Hack,Robin Hack,70,2400000,LM,Germany,23,DSC Arminia Bielefeld,2021
M. Phillips,Matt Phillips,70,1300000,RW,Scotland,31,West Bromwich Albion,2016
J. Dom,Joren Dom,70,1100000,RB,Belgium,32,Oud-Heverlee Leuven,2022
A. Bellemo,Alessandro Bellemo,70,1900000,CM,Italy,26,Como,2019
P. Köhn,Philipp Köhn,70,2000000,GK,Switzerland,24,FC Red Bull Salzburg,2018
S. Thill,Sébastien Thill,70,1600000,CAM,Luxembourg,28,F.C. Hansa Rostock,2022
J. Soraire,Jesús Soraire,70,975000,CM,Argentina,33,Club Atlético Central Córdoba,2021
D. Giraldo,Daniel Giraldo,70,1300000,CDM,Colombia,30,Junior FC,2022
Erison,Erison Danilo de Souza,70,3200000,ST,Brazil,23,Estoril Praia,2022
D. Pérez,Damián Pérez,70,825000,LB,Argentina,33,Arsenal de Sarandí,2022
J. Williams,Joe Williams,70,2000000,CDM,England,25,Bristol City,2020
Douglas Friedrich,Douglas Alan Schuck Friedrich,70,525000,GK,Brazil,33,Al Khaleej,2022
S. Lauper,Sandro Lauper,70,2100000,CB,Switzerland,25,BSC Young Boys,2018
G. Mera,Germán Mera,70,1000000,CB,Colombia,32,Deportivo Cali,2022
C. Martínez Borja,Cristian Martínez Borja,70,775000,ST,Colombia,34,C.D. Universidad Católica del Ecuador,2022
Kim Bo Kyung,Bo Kyung Kim,70,1300000,CAM,Korea Republic,32,Jeonbuk Hyundai Motors,2020
Lucas Possignolo,Lucas Possignolo,70,1600000,CB,Brazil,28,Zhejiang Professional FC,2022
M. Zaldivia,Matías Zaldivia,70,1100000,CB,Argentina,31,Colo-Colo,2016
A. Campbell,Allan Campbell,70,2500000,CDM,Scotland,23,Luton Town,2021
G. Diangana,Grady Diangana,70,2500000,CAM,England,24,West Bromwich Albion,2020
C. Brannagan,Cameron Brannagan,70,2000000,CM,England,26,Oxford United,2018
K. Tagawa,Kyosuke Tagawa,70,2500000,ST,Japan,23,Santa Clara,2019
M. Lebusa,Mosa Lebusa,70,1300000,CB,South Africa,29,Mamelodi Sundowns FC,2018
M. Bird,Max Bird,70,3400000,CDM,England,21,Derby County,2017
A. Davies,Adam Davies,70,1100000,GK,Wales,29,Sheffield United,2022
F. Gattoni,Federico Gattoni,70,2300000,CB,Argentina,23,San Lorenzo de Almagro,2017
Natinho Mestres,Renato Peter Mestres Silveira,70,1500000,RM,Brazil,30,São Paulo,2022
Anderson Jesus,Anderson de Jesus Santos,70,1600000,CB,Brazil,27,FC Vizela,2022
J. Vossen,Jelle Vossen,70,1000000,ST,Belgium,33,SV Zulte Waregem,2020
V. Dubinchak,Vladyslav Dubinchak,70,2200000,LWB,Ukraine,24,Dynamo Kyiv,2017
F. de Keijzer,Fabian de Keijzer,70,3100000,GK,Netherlands,22,FC Utrecht,2018
Lourival Dinisco,Lourival Adnan Diniz Prazeres,70,1600000,CB,Brazil,22,Fortaleza,2022
A. Ueda,Ayase Ueda,70,2400000,ST,Japan,23,KSV Cercle Brugge,2022
S. McCallum,Sam McCallum,70,3400000,LB,England,21,Norwich City,2020
G. Tsitaishvili,Giorgi Tsitaishvili,70,3600000,LM,Georgia,21,Lech Poznań,2017
Afonso Sousa,Afonso Gamelas Sousa,70,3600000,CAM,Portugal,22,Lech Poznań,2022
J. Baez,Jaime Baez,70,1700000,RM,Uruguay,27,US Cremonese,2022
M. Mehlem,Marvin Mehlem,70,2300000,CAM,Germany,24,SV Darmstadt 98,2017
A. Chumacero,Alejandro Chumacero,70,1300000,CM,Bolivia,31,Club Always Ready,2021
M. Cóccaro,Matías Cóccaro,70,2500000,ST,Uruguay,24,Club Atlético Huracán,2021
M. Minchev,Martin Minchev,70,2600000,ST,Bulgaria,21,AC Sparta Praha,2020
L. Ranieri,Luca Ranieri,70,3400000,LB,Italy,23,Fiorentina,2017
F. Jensen,Fredrik Jensen,70,2400000,CAM,Finland,24,FC Augsburg,2018
N. Ferreyra,Nicolás Ferreyra,70,1300000,CB,Argentina,29,Barracas Central,2021
R. Inglese,Roberto Inglese,70,1600000,ST,Italy,30,Parma,2020
G. Martirena,Gastón Martirena,70,3100000,RWB,Uruguay,22,Liverpool Fútbol Club,2019
Romário Baró,Romário Manuel Silva Baró,70,3600000,CAM,Portugal,22,Casa Pia,2016
Cho Gue Sung,Gue Sung Cho,70,3200000,ST,Korea Republic,24,Jeonbuk Hyundai Motors,2020
Jaume Grau,Jaume Grau Ciscar,70,2900000,CDM,Spain,25,Real Zaragoza,2022
Igor Silva,Igor Silva de Almeida,70,1900000,RB,Brazil,25,FC Lorient,2021
Marcos Paulo,Marcos Paulo Costa do Nascimento,70,3900000,RM,Portugal,21,CD Mirandés,2021
T. Koubek,Tomáš Koubek,70,1100000,GK,Czech Republic,29,FC Augsburg,2019
E. Guessand,Evann Guessand,70,3600000,ST,France,21,FC Nantes,2018
Luquinha,Lucas Queiroz Canteiro,70,3600000,RM,Brazil,21,Portimonense SC,2019
F. Pereyra,Fabio Pereyra,70,1000000,CB,Argentina,32,Club Atlético Central Córdoba,2022
G. González,Gastón González,70,3600000,LM,Argentina,21,Orlando City Soccer Club,2022
J. Holland,James Holland,70,800000,CDM,Australia,33,FK Austria Wien,2022
A. Bukia,André Bukia,70,1700000,RW,Congo DR,27,FC Arouca,2017
H. Moldovan,Horațiu Moldovan,70,2000000,GK,Romania,24,Rapid București,2021
N. Sarenren Bazee,Noah Joel Sarenren Bazee,70,1900000,RW,Nigeria,25,FC Augsburg,2019
D. Melnjak,Dario Melnjak,70,1400000,LB,Croatia,29,Hajduk Split,2021
B. Bvuma,Bruce Bvuma,70,1700000,GK,South Africa,27,Kaizer Chiefs,2017
D. Fisher,Darnell Fisher,70,1400000,RWB,England,28,Middlesbrough,2021
Marlion Rolim,Marlion Rômulo Rolim Nascimento,70,1500000,CAM,Brazil,30,RB Bragantino,2022
J. Narváez,Juan José Narváez,70,1700000,LM,Colombia,27,Real Valladolid CF,2022
A. Mumin,Abdul Mumin,70,3300000,CB,Ghana,24,Rayo Vallecano,2022
Juanma García,Juan Manuel García García,70,1600000,RW,Spain,29,Albacete BP,2022
M. Pearson,Matty Pearson,70,1500000,CB,England,28,Huddersfield Town,2021
D. Caicedo,Déiber Caicedo,70,3200000,RM,Colombia,22,Vancouver Whitecaps FC,2021
José Crespo,José Ángel Crespo Rincón,70,425000,CB,Spain,35,APOEL Nicosia FC,2022
O. Kemen,Olivier Kemen,70,2100000,CAM,France,25,Yukatel Kayserispor,2021
Jairo Farnias,Jairo Ralph Farnias Almeida,70,1400000,GK,Brazil,22,Internacional,2022
Eugeni,Eugeni Valderrama Domènech,70,1700000,CAM,Spain,27,Real Zaragoza,2022
L. Blessing,Latif Blessing,70,2200000,CAM,Ghana,25,Los Angeles FC,2017
Júnior Urso,Ocimar Almeida Júnior,70,800000,CDM,Brazil,33,Orlando City Soccer Club,2020
H. Cornick,Harry Cornick,70,1900000,ST,England,27,Luton Town,2017
V. Mannone,Vito Mannone,70,275000,GK,Italy,34,FC Lorient,2022
M. Hilgers,Mees Hilgers,70,3700000,CB,Netherlands,21,FC Twente,2020
L. Lozano,Leandro Lozano,70,3000000,RB,Uruguay,23,Club Nacional de Football,2022
M. Busi,Maxime Busi,70,2400000,RB,Belgium,22,Stade de Reims,2022
R. Abascal,Rodrigo Abascal,70,1600000,CB,Uruguay,28,Boavista FC,2021
N. Haas,Nicolas Haas,70,2100000,CM,Switzerland,26,Empoli,2021
A. Bareiro,Antonio Bareiro,70,1000000,RM,Paraguay,33,Club Libertad,2014
C. Bassett,Cole Bassett,70,3500000,CAM,United States,20,Fortuna Sittard,2018
Víctor Gómez,Víctor Gómez Perea,70,3400000,RWB,Spain,22,SC Braga,2017
K. Yeboah,Kelvin Yeboah,70,3300000,ST,Italy,22,Genoa,2022
A. Mabil,Awer Mabil,70,1700000,LM,Australia,26,Cádiz CF,2022
R. Carrascal,Rafael Carrascal,70,1600000,CM,Colombia,29,Club Cerro Porteño,2022
Nico Serrano,Nicolás Serrano Galdeano,70,3400000,CAM,Spain,19,CD Mirandés,2020
R. Stewart,Ross Stewart,70,2100000,ST,Scotland,25,Sunderland,2021
C. Groß,Christian Groß,70,800000,CDM,Germany,33,SV Werder Bremen,2019
Tiago Esgaio,Tiago Alexandre de Sousa Esgaio,70,1700000,RB,Portugal,26,FC Arouca,2021
G. İnler,Gökhan İnler,70,325000,CDM,Switzerland,38,Adana Demirspor,2020
Y. Cimignani,Yanis Cimignani,70,3500000,RM,France,20,AC Ajaccio,2020
E. Mathoho,Eric Mathoho,70,1000000,CB,South Africa,32,Kaizer Chiefs,2012
C. Brüls,Christian Brüls,70,1000000,CAM,Belgium,33,Sint-Truidense VV,2021
R. Radunović,Risto Radunović,70,1400000,LB,Montenegro,30,FCSB (Steaua),2021
I. Kandouss,Ismaël Kandouss,70,2100000,CB,Morocco,24,Royale Union Saint-Gilloise,2019
Ji Xiang,Xiang Ji,70,1100000,RB,China PR,32,Shandong Taishan,2021
A. Medina,Alejandro Medina,70,180000,GK,Argentina,35,Arsenal de Sarandí,2021
O. Hernández,Onel Hernández,70,1600000,LM,Cuba,29,Norwich City,2018
C. Atsu,Christian Atsu,70,1500000,RW,Ghana,30,Atakaş Hatayspor,2022
M. Alphonse,Mickaël Alphonse,70,1100000,RB,France,32,AC Ajaccio,2022
B. Yáñez,Bastián Yáñez,70,3600000,LM,Chile,21,Unión Española,2018
J. Serra,Janni Serra,70,2400000,ST,Germany,24,DSC Arminia Bielefeld,2021
T. Lees,Tom Lees,70,1100000,CB,England,31,Huddersfield Town,2021
Javi López,Javier López Rodríguez,70,350000,RB,Spain,36,Adelaide United,2020
H. Orzán,Horacio Orzán,70,725000,CM,Argentina,34,FBC Melgar,2021
C. Austin,Charlie Austin,70,1300000,ST,England,32,Brisbane Roar,2022
Paolinho Leima,Paolo Marco Leima Donatelo,70,1700000,RWB,Brazil,22,Clube Atlético Mineiro,2022
M. Obafemi,Michael Obafemi,70,3300000,ST,Republic of Ireland,21,Swansea City,2021
F. Saucedo,Fernando Saucedo,70,1300000,CM,Bolivia,32,Club The Strongest,2022
Paris Adot,Paris Adot Barandiaran,70,1100000,RB,Spain,32,SD Ponferradina,2020
D. Loader,Danny Loader,70,3600000,ST,England,21,FC Porto,2020
Sergio Tejera,Sergio Tejera Rodríguez,70,1100000,CDM,Spain,32,FC Cartagena,2021
F. Pérez,Facundo Pérez,70,2500000,CM,Argentina,22,Club Atlético Lanús,2019
N. Hult,Niklas Hult,70,1100000,LB,Sweden,32,IF Elfsborg,2022
S. Moore,Simon Moore,70,800000,GK,England,32,Coventry City,2021
T. Douvikas,Tasos Douvikas,70,3300000,ST,Greece,22,FC Utrecht,2021
J. Geis,Johannes Geis,70,1400000,CDM,Germany,28,1. FC Nürnberg,2019
K. Mudau,Khuliso Mudau,70,1500000,RB,South Africa,27,Mamelodi Sundowns FC,2020
C. Styles,Callum Styles,70,3400000,LWB,Hungary,22,Millwall,2018
Álvaro Jiménez,Álvaro José Jiménez Guerrero,70,1700000,RM,Spain,27,Unión Deportiva Las Palmas,2021
K. McFadzean,Kyle McFadzean,70,425000,CB,England,35,Coventry City,2019
B. Soppy,Brandon Soppy,70,3300000,RWB,France,20,Atalanta,2022
F. Klaus,Felix Klaus,70,1600000,RW,Germany,29,Fortuna Düsseldorf,2021
M. Bauer,Moritz Bauer,70,1400000,RB,Austria,30,Servette FC,2022
P. Anton,Paul Anton,70,1100000,CDM,Romania,31,AFC UTA Arad,2022
A. Omobamidele,Andrew Omobamidele,70,3600000,CB,Republic of Ireland,20,Norwich City,2019
R. Petrović,Radosav Petrović,70,800000,CDM,Serbia,33,Real Zaragoza,2021
D. Ward,Danny Ward,70,1300000,ST,England,31,Huddersfield Town,2020
J. Rodriguez,José Luis Rodriguez,70,2200000,RB,Uruguay,25,Club Nacional de Football,2022
Bruno Xadas,Bruno Alexandre Vieira Almeida,70,2400000,CAM,Portugal,24,Clube Sport Marítimo,2021
A. Samaris,Andreas Samaris,70,750000,CB,Greece,33,Rio Ave FC,2022
F. Ulvestad,Fredrik Ulvestad,70,1500000,CDM,Norway,30,Demir Grup Sivasspor,2021
A. Lotti,Augusto Lotti,70,2000000,ST,Argentina,26,Atlético Tucumán,2019
J. Panzo,Jonathan Panzo,70,3000000,CB,England,21,Coventry City,2022
O. Merlo,Omar Merlo,70,425000,CB,Argentina,35,Club Sporting Cristal,2018
J. Czerwiński,Jakub Czerwiński,70,1300000,CB,Poland,30,Piast Gliwice,2018
R. Rúnarsson,Rúnar Alex Rúnarsson,70,1500000,GK,Iceland,27,Aytemiz Alanyaspor,2020
K. Long,Kevin Long,70,1100000,CB,Republic of Ireland,31,Burnley,2010
Carrillo,José Ángel Carrillo Casamayor,70,1600000,ST,Spain,28,SD Huesca,2022
Breno Bemposta,Breno Evandro Bemposta Dimas,70,1500000,CDM,Brazil,26,Ceará Sporting Club,2022
F. Pellistri,Facundo Pellistri,70,3800000,RM,Uruguay,20,Manchester United,2020
İ. Eğribayat,İrfan Can Eğribayat,70,2700000,GK,Turkey,24,Fenerbahçe SK,2020
S. Piette,Samuel Piette,70,1500000,CDM,Canada,27,Club de Foot Montréal,2017
A. Noppert,Andries Noppert,70,1500000,GK,Netherlands,28,SC Heerenveen,2022
C. Spinelli,Claudio Spinelli,70,2400000,ST,Argentina,25,Club Atlético Lanús,2022
K. Gjasula,Klaus Gjasula,70,1100000,CB,Albania,32,SV Darmstadt 98,2021
Farley,Farley Vieira Rosa,70,1600000,LM,Brazil,28,Tianjin Jinmen Tiger FC,2022
N. Ngoumou,Nathan Ngoumou,70,3600000,RM,France,22,Borussia Mönchengladbach,2022
Bustinza,Unai Bustinza Martínez,70,1300000,CB,Spain,30,Málaga CF,2022
Lee Dong Kyeong,Dong Kyeong Lee,70,2400000,LM,Korea Republic,24,F.C. Hansa Rostock,2018
G. Scalvini,Giorgio Scalvini,70,3800000,CB,Italy,18,Atalanta,2021
Jesús Vázquez,Jesús Vázquez Alcalde,70,3300000,LB,Spain,19,Valencia CF,2020
C. Fai,Collins Fai,70,1400000,RB,Cameroon,29,Al Tai,2022
T. Pembélé,Timothée Pembélé,70,3300000,RM,France,19,Paris Saint-Germain,2020
Patrick William,Patrick William Sá De Oliveira,70,2200000,CB,Brazil,25,Rio Ave FC,2022
C. Devlin,Cameron Devlin,70,3200000,CDM,Australia,24,Heart of Midlothian,2021
B. Petersen,Brandon Petersen,70,1500000,GK,South Africa,28,Kaizer Chiefs,2021
Waldo,Waldo Rubio Martin,70,1700000,RW,Spain,26,CD Tenerife,2022
S. Arzamendia,Santiago Arzamendia,70,3000000,LWB,Paraguay,24,Cádiz CF,2021
I. Saavedra,Ignacio Saavedra,70,3200000,CM,Chile,23,Universidad Católica,2016
A. Hassan,Abdelkarim Hassan,70,0,LWB,Qatar,28,Free agent,2018
I. Voca,Idriz Voca,70,2000000,CDM,Kosovo,25,Cosenza,2022
A. Lusamba,Arnaud Lusamba,70,2200000,RM,France,25,Aytemiz Alanyaspor,2022
N. Pasquini,Nicolás Pasquini,70,1200000,LB,Argentina,31,Club Atlético Lanús,2013
A. Schäfer,András Schäfer,70,3500000,CM,Hungary,23,1. FC Union Berlin,2022
D. Ignatenko,Danylo Ignatenko,70,2300000,CDM,Ukraine,25,FC Girondins de Bordeaux,2022
P. Wiesinger,Philipp Wiesinger,70,1600000,CB,Austria,28,LASK Linz,2016
M. Bokadi,Merveille Bokadi,70,2100000,CB,Congo DR,26,Standard de Liège,2017
T. van Weert,Tom van Weert,70,1300000,ST,Netherlands,32,AEK Athens,2022
D. Yedlin,DeAndre Yedlin,70,1400000,RB,United States,28,Inter Miami CF,2022
E. Zenga,Erik Zenga,70,1400000,CDM,Germany,29,SV Sandhausen,2015
A. Rodríguez,Arón Rodríguez,70,2600000,RM,Ecuador,22,C.D. Universidad Católica del Ecuador,2022
Y. Osorio,Yordan Osorio,70,1600000,CB,Venezuela,28,Parma,2020
C. Sørensen,Christian Sørensen,70,1400000,LM,Denmark,29,F.C. København,2022
R. Leonard,Ryan Leonard,70,1300000,CDM,England,30,Millwall,2019
Q. Merlin,Quentin Merlin,70,3700000,LM,France,20,FC Nantes,2020
J. Fulton,Jay Fulton,70,1500000,CB,Scotland,28,Swansea City,2014
N. Raskin,Nicolas Raskin,70,3600000,CM,Belgium,21,Standard de Liège,2019
A. Modiba,Aubrey Modiba,70,1600000,LB,South Africa,26,Mamelodi Sundowns FC,2020
F. Torrent,Fernando Torrent,70,1400000,RB,Argentina,30,Rosario Central,2020
J. Caicedo,Juan Caicedo,70,1300000,ST,Colombia,32,Club Deportes Tolima,2020
M. Álvarez,Milton Álvarez,70,525000,GK,Argentina,33,Club Atlético Independiente,2018
G. Hein,Gauthier Hein,70,1900000,RM,France,25,AJ Auxerre,2020
C. De Norre,Casper De Norre,70,2100000,RWB,Belgium,25,Oud-Heverlee Leuven,2021
D. Mantilla,Daniel Mantilla,70,2100000,CAM,Colombia,25,Atlético Nacional,2022
Eltson Marques,Elton Matheus Marques Paiva,70,1300000,CB,Brazil,30,Internacional,2022
C. Menéndez,Cristian Menéndez,70,775000,ST,Argentina,34,Atlético Tucumán,2021
Rober Correa,Roberto Antonio Correa Silva,70,1400000,RB,Spain,29,SD Eibar,2019
B. Mikeltadze,Beka Mikeltadze,70,2400000,CAM,Georgia,24,Newcastle Jets,2021
A. Schöpf,Alessandro Schöpf,70,1600000,RWB,Austria,28,Vancouver Whitecaps FC,2022
Carlos Domínguez,Carlos Dominguez Cáceres,70,3300000,CB,Spain,21,RC Celta de Vigo,2020
L. Mancuso,Leonardo Mancuso,70,1600000,CF,Italy,30,Como,2022
Cao Yunding,Yunding Cao,70,1300000,LM,China PR,32,Shanghai Shenhua FC,2011
G. Kargas,Giannis Kargas,70,1700000,CB,Greece,27,PAOK,2022
M. Turay,Mohamed Buya Turay,70,1700000,ST,Sierra Leone,27,Malmö FF,2022
K. Przybyłko,Kacper Przybyłko,70,1600000,ST,Poland,29,Chicago Fire Football Club,2022
Benito,Benito Ramírez del Toro,70,1600000,LB,Spain,26,Unión Deportiva Las Palmas,2015
J. Hogg,Jonathan Hogg,70,800000,CDM,England,33,Huddersfield Town,2013
Adrián López,Adrián López Álvarez,70,775000,CF,Spain,34,Málaga CF,2022
Vitor Marlão,Vitor Marlon Bereitta Cortejo,70,1600000,LB,Brazil,26,Fortaleza,2022
Nuno Moldeiro,Nuno Jorgino Moldeiro Vaz,70,1700000,LM,Brazil,26,Sport Club Corinthians Paulista,2022
F. Andone,Florin Andone,70,1600000,ST,Romania,29,Unión Deportiva Las Palmas,2022
G. Hairemans,Geoffry Hairemans,70,1500000,CM,Belgium,30,KV Mechelen,2019
D. Srbeny,Dennis Srbeny,70,1600000,ST,Germany,28,SC Paderborn 07,2020
M. Thychosen,Mads Døhr Thychosen,70,2000000,CB,Denmark,25,FC Midtjylland,2022
A. Esiti,Anderson Esiti,70,1500000,CB,Nigeria,28,Ferencvárosi TC,2022
Andrew,Andrew da Silva Ventura,70,3400000,GK,Brazil,21,Gil Vicente FC,2021
M. Männel,Martin Männel,70,275000,GK,Germany,34,FC Erzgebirge Aue,2008
S. Sithembe,Siyethemba Sithembe,70,1600000,CAM,South Africa,29,Kaizer Chiefs,2022
D. Ballard,Daniel Ballard,70,3300000,CB,Northern Ireland,22,Sunderland,2022
S. Bendebka,Sofiane Bendebka,70,1600000,RM,Algeria,29,Al Fateh,2020
A. Salvi,Alessandro Salvi,70,575000,RB,Italy,34,Ascoli,2021
M. Aké,Marley Aké,70,3200000,RM,France,21,Juventus,2021
K. Zenón,Kevin Zenón,70,3600000,CAM,Argentina,21,Unión de Santa Fe,2020
Jefté,Jefté Betancor Sánchez,70,1600000,ST,Spain,28,CFR Cluj,2022
T. Roberts,Tyler Roberts,70,2400000,ST,Wales,23,Queens Park Rangers,2018
A. N'Diaye,Alfred N'Diaye,70,1100000,CB,Senegal,32,Málaga CF,2022
B. Reynet,Baptiste Reynet,70,850000,GK,France,31,Dijon FCO,2021
R. Enrique,Ramiro Enrique,70,3900000,ST,Argentina,21,Club Atlético Banfield,2021
G. Lovrencsics,Gergő Lovrencsics,70,825000,RB,Hungary,33,Hajduk Split,2021
A. Micai,Alessandro Micai,70,1100000,GK,Italy,28,US Salernitana 1919,2018
H. Veerman,Henk Veerman,70,1300000,ST,Netherlands,31,FC Volendam,2022
B. Luciatti,Brian Abel Luciatti,70,1500000,CB,Argentina,29,Club Atlético Tigre,2020
M. Capasso,Manuel Capasso,70,2000000,CB,Argentina,26,Atlético Tucumán,2020
M. Barreto,Mickaël Barreto,70,1300000,LM,France,31,AC Ajaccio,2020
R. Salin,Romain Salin,70,180000,GK,France,37,Stade Rennais FC,2019
